2	5.48315     0.0270986   
3	5.42189     0.0632289   
4	5.43766     0.0474089   
5	5.44156     0.0369293   
6	5.44503     0.0303514   
7	5.45497     0.0275096   
8	5.44887     0.0245912   
9	5.45265     0.0220142   
10	5.46967     0.0260265   
11	5.46474     0.0240534   
12	5.45479     0.0241061   
13	5.43317     0.0309667   
14	5.4343      0.0286917   
15	5.43695     0.0268419   
16	5.43667     0.0251099   
17	5.44392     0.0246772   
18	5.44787     0.0235974   
19	5.44843     0.0223282   
20	5.44664     0.0212586   
21	5.44502     0.0202856   
22	5.45213     0.0206065   
23	5.45074     0.0197387   
24	5.44943     0.0189441   
25	5.45149     0.0182874   
26	5.45039     0.0176045   
27	5.45541     0.0176675   
28	5.4543      0.0170609   
29	5.45242     0.0165682   
30	5.45454     0.0161454   
31	5.45493     0.0156208   
32	5.45781     0.0153971   
33	5.45992     0.0150715   
34	5.46035     0.0146278   
35	5.45826     0.0143565   
36	5.45812     0.0139528   
37	5.45672     0.0136421   
38	5.45276     0.0138561   
39	5.45487     0.0136593   
40	5.45907     0.01396     
41	5.45792     0.0136635   
42	5.46015     0.0135187   
43	5.46155     0.013275    
44	5.4647      0.0133476   
45	5.46278     0.0131888   
46	5.46125     0.012989    
47	5.46223     0.0127473   
48	5.46386     0.0125845   
49	5.46413     0.0123281   
50	5.46347     0.0120969   
51	5.46321     0.0118604   
52	5.46042     0.0119587   
53	5.46001     0.0117382   
54	5.45992     0.0115191   
55	5.46159     0.0114301   
56	5.45688     0.0121707   
57	5.45889     0.0121217   
58	5.45749     0.0119927   
59	5.45789     0.0117946   
60	5.45952     0.0117098   
61	5.45998     0.0115257   
62	5.46199     0.0115143   
63	5.45975     0.0115492   
64	5.45736     0.0116153   
65	5.45707     0.0114388   
66	5.45683     0.0112669   
67	5.45874     0.0112616   
68	5.45859     0.0110958   
69	5.45816     0.0109423   
70	5.45857     0.0107927   
71	5.45745     0.0106987   
72	5.45882     0.0106383   
73	5.46023     0.0105862   
74	5.45977     0.0104523   
75	5.45929     0.0103233   
76	5.46038     0.0102448   
77	5.46106     0.0101336   
78	5.46153     0.0100141   
79	5.46176     0.00988902  
80	5.46212     0.0097715   
81	5.46387     0.00980739  
82	5.46481     0.00973201  
83	5.46471     0.00961453  
84	5.46312     0.00963193  
85	5.46278     0.00952401  
86	5.46373     0.00946044  
87	5.46247     0.00943558  
88	5.46244     0.00932777  
89	5.46244     0.00922237  
90	5.4605      0.00932254  
91	5.46126     0.00925018  
92	5.45967     0.00928555  
93	5.46051     0.00922319  
94	5.45989     0.00914508  
95	5.45961     0.00905265  
96	5.45929     0.00896373  
97	5.45943     0.00887193  
98	5.45952     0.00878145  
99	5.46011     0.00871241  
100	5.45967     0.00863611  
