2	5.40492     0.0784023   
3	5.4415      0.0582011   
4	5.48302     0.0584562   
5	5.48728     0.0454799   
6	5.50886     0.04295     
7	5.51443     0.036724    
8	5.48908     0.0406694   
9	5.49954     0.0373607   
10	5.50698     0.034236    
11	5.50033     0.0316738   
12	5.49783     0.0290219   
13	5.48988     0.0278557   
14	5.49625     0.026565    
15	5.49934     0.0249222   
16	5.49316     0.0241156   
17	5.49449     0.0226914   
18	5.49        0.0218599   
19	5.48529     0.0212059   
20	5.48385     0.0201696   
21	5.48004     0.0195592   
22	5.47449     0.0194579   
23	5.4726      0.0186886   
24	5.47593     0.018201    
25	5.47456     0.0175114   
26	5.47826     0.0172257   
27	5.4796      0.0166294   
28	5.48216     0.0162285   
29	5.48253     0.0156632   
30	5.47949     0.0154341   
31	5.47834     0.0149723   
32	5.4785      0.0144977   
33	5.47484     0.01452     
34	5.47524     0.014092    
35	5.47511     0.013684    
36	5.47207     0.0136419   
37	5.47301     0.0133017   
38	5.47107     0.0130919   
39	5.4707      0.0127571   
40	5.47045     0.0124367   
41	5.46751     0.01248     
42	5.46655     0.012217    
43	5.46812     0.0120325   
44	5.46921     0.0118058   
45	5.46954     0.0115453   
46	5.47018     0.0113096   
47	5.47175     0.0111767   
48	5.47        0.0110797   
49	5.47064     0.0108702   
50	5.47134     0.0106734   
51	5.46821     0.0109209   
52	5.46726     0.010751    
53	5.46981     0.0108505   
54	5.46751     0.010894    
55	5.46861     0.0107507   
56	5.4692      0.0105735   
57	5.47224     0.0108226   
58	5.47154     0.0106571   
59	5.46765     0.0111759   
60	5.46815     0.0109994   
61	5.46584     0.0110619   
62	5.46836     0.0111708   
63	5.46723     0.0110502   
64	5.46803     0.0109054   
65	5.4694      0.0108235   
66	5.46784     0.0107715   
67	5.46663     0.0106779   
68	5.46505     0.0106385   
69	5.46379     0.0105586   
70	5.4621      0.0105434   
71	5.46056     0.0105062   
72	5.46105     0.0103706   
73	5.45988     0.0102944   
74	5.46197     0.0103681   
75	5.46222     0.010232    
76	5.46367     0.010199    
77	5.46523     0.0101858   
78	5.46642     0.0101252   
79	5.46427     0.0102242   
80	5.46609     0.0102574   
81	5.4679      0.010291    
82	5.46575     0.010391    
83	5.46564     0.0102655   
84	5.46742     0.0102983   
85	5.4659      0.0102898   
86	5.46623     0.0101748   
87	5.46687     0.0100775   
88	5.46672     0.0099635   
89	5.46614     0.0098679   
90	5.46749     0.00985113  
91	5.46697     0.00975594  
92	5.46722     0.00965242  
93	5.46809     0.00958747  
94	5.46953     0.00959331  
95	5.46964     0.00949253  
96	5.469       0.00941496  
97	5.4698      0.00935163  
98	5.46803     0.0094247   
99	5.46906     0.00938626  
100	5.46903     0.00929199  
