2	0.99786     0.0118671   
3	0.994726    0.00753456  
4	0.99699     0.00578914  
5	0.995794    0.00464104  
6	0.997634    0.00421228  
7	0.999622    0.00407736  
8	0.999622    0.0035311   
9	1.00224     0.00406574  
10	1.00314     0.00374702  
11	1.00263     0.00342678  
12	1.00343     0.00322709  
13	1.00314     0.00298198  
14	1.00363     0.00280305  
15	1.00316     0.00265123  
16	1.00295     0.00248918  
17	1.00362     0.00243394  
18	1.0029      0.00240494  
19	1.00284     0.00227577  
20	1.00174     0.00242239  
21	1.0017      0.00230452  
22	1.0015      0.00220602  
23	1.00081     0.00221974  
24	1.00089     0.00212711  
25	1.00098     0.00204208  
26	1.00152     0.00203504  
27	1.00136     0.00196482  
28	1.00189     0.00196554  
29	1.0021      0.00190867  
30	1.00192     0.00185353  
31	1.00186     0.00179361  
32	1.00175     0.00173987  
33	1.00213     0.00172843  
34	1.00169     0.0017342   
35	1.00169     0.00168392  
36	1.00167     0.00163663  
37	1.00184     0.00160133  
38	1.00183     0.00155869  
39	1.00173     0.00152141  
40	1.00144     0.00151046  
41	1.00183     0.00152298  
42	1.002       0.00149658  
43	1.00226     0.00148303  
44	1.00198     0.0014755   
45	1.00198     0.00144235  
46	1.00184     0.00141742  
47	1.00155     0.00141892  
48	1.00145     0.00139215  
49	1.0014      0.00136429  
50	1.00139     0.00133676  
51	1.00136     0.00131069  
52	1.00125     0.00128993  
53	1.00145     0.00128113  
54	1.00132     0.00126463  
55	1.0013      0.00124155  
56	1.00134     0.00121999  
57	1.0013      0.00119927  
58	1.00115     0.00118758  
59	1.00107     0.00116983  
60	1.00109     0.00115031  
61	1.00077     0.00117628  
62	1.00093     0.00116815  
63	1.00102     0.00115343  
64	1.00117     0.00114501  
65	1.00131     0.00113544  
66	1.00136     0.00111939  
67	1.00124     0.00110951  
68	1.00111     0.00110073  
69	1.00111     0.00108468  
70	1.00146     0.00112443  
71	1.00148     0.00110864  
72	1.00148     0.00109313  
73	1.00154     0.00107939  
74	1.0013      0.00108953  
75	1.00127     0.00107534  
76	1.00135     0.00106403  
77	1.00138     0.00105052  
78	1.00159     0.00105822  
79	1.00155     0.00104545  
80	1.00145     0.00103722  
81	1.00168     0.0010488   
82	1.00184     0.00104895  
83	1.00189     0.00103752  
84	1.00173     0.00103874  
85	1.00168     0.00102735  
86	1.00168     0.00101534  
87	1.00178     0.00100779  
88	1.0018      0.000996504 
89	1.00184     0.000985966 
90	1.00188     0.000976155 
91	1.00176     0.000973533 
92	1.00162     0.000972178 
93	1.00155     0.000964654 
94	1.00138     0.000968201 
95	1.0013      0.000961679 
96	1.0014      0.000957309 
97	1.00147     0.000949917 
98	1.00142     0.000941874 
99	1.0014      0.000932537 
100	1.00122     0.000939475 
