1	1           nan         
2	1.41524     0.00388397  
3	1.73052     0.00542106  
4	2.00112     0.00660146  
5	2.23958     0.00731167  
6	2.44549     0.00827882  
7	2.64503     0.0096449   
8	2.82085     0.0101531   
9	3.00297     0.0107247   
10	3.16414     0.0107515   
11	3.32801     0.0116186   
12	3.4784      0.0129246   
13	3.61935     0.0130746   
14	3.74835     0.0141554   
15	3.87435     0.0150426   
16	3.99858     0.0162478   
17	4.12197     0.0175128   
18	4.24556     0.0186954   
19	4.36047     0.0197772   
20	4.47553     0.0207046   
21	4.57896     0.0206271   
22	4.6901      0.0207384   
23	4.80492     0.0204306   
24	4.91452     0.0211538   
25	5.01084     0.020557    
26	5.10954     0.0219286   
27	5.20046     0.0226515   
28	5.29409     0.0233906   
29	5.38247     0.0231771   
30	5.48351     0.0237564   
31	5.56676     0.0240839   
32	5.6485      0.0243869   
33	5.74428     0.0236328   
34	5.83647     0.0240798   
35	5.92029     0.0248642   
36	6.00514     0.0252785   
37	6.08198     0.0247331   
38	6.16138     0.0256996   
39	6.23588     0.0264671   
40	6.31335     0.0265163   
41	6.38735     0.0275477   
42	6.47161     0.0271308   
43	6.53667     0.026949    
44	6.61058     0.0281874   
45	6.68808     0.0282479   
46	6.76302     0.0288364   
47	6.8395      0.0290978   
48	6.91339     0.0291728   
49	6.98256     0.0303338   
50	7.0537      0.0307035   
51	7.12075     0.0304604   
52	7.1915      0.0311043   
53	7.26401     0.031327    
54	7.33564     0.0307859   
55	7.40653     0.0305069   
56	7.46304     0.0312433   
57	7.52328     0.0312784   
58	7.58718     0.0322027   
59	7.65303     0.0324387   
60	7.71831     0.0328597   
61	7.78335     0.0324298   
62	7.84779     0.0325405   
63	7.9073      0.0327929   
64	7.97175     0.0332079   
65	8.0347      0.0330004   
66	8.09018     0.032495    
67	8.15524     0.0330768   
68	8.20882     0.0337262   
69	8.2703      0.0332621   
70	8.33018     0.0325416   
71	8.39388     0.0325126   
72	8.45569     0.0329221   
73	8.52574     0.0328928   
74	8.57214     0.0343777   
75	8.63383     0.0348217   
76	8.6922      0.0349359   
77	8.74548     0.0356804   
78	8.80461     0.0359621   
79	8.85152     0.0362755   
80	8.91422     0.0357635   
81	8.95936     0.0360844   
82	9.01126     0.0363636   
83	9.06367     0.0377391   
84	9.12045     0.038112    
85	9.17809     0.0390026   
86	9.23394     0.039481    
87	9.28611     0.0390565   
88	9.34045     0.0388668   
89	9.38892     0.0375818   
90	9.44093     0.0375505   
91	9.49349     0.0376548   
92	9.54804     0.0376003   
93	9.6081      0.0386202   
94	9.65496     0.0380296   
95	9.70216     0.0376953   
96	9.74725     0.0380508   
97	9.80184     0.0384343   
98	9.8558      0.039177    
99	9.91249     0.0392763   
100	9.96215     0.0401806   
